,QuestionId,UserId,AnswerId,IsCorrect,CorrectAnswer,AnswerValue
12,405,1506,1268566,1,2,2
37,764,1211,35920,1,4,4
55,462,3790,607708,0,3,1
65,727,678,767475,0,2,3
152,764,4511,1119807,1,4,4
170,922,202,1333835,0,4,2
291,856,2620,890805,0,3,1
324,83,178,207065,0,2,1
341,911,4193,678436,0,2,3
344,668,1476,1054345,1,3,3
420,405,5721,930975,1,2,2
522,764,1833,907590,1,4,4
524,668,5430,464007,1,3,3
560,332,351,531689,1,2,2
565,855,2980,615788,1,3,3
633,625,2788,600240,1,1,1
660,911,6014,690006,0,2,3
790,727,5287,43601,1,2,2
803,668,5234,959314,1,3,3
838,83,4546,1259617,1,2,2
848,668,1355,326952,1,3,3
1021,855,3016,645062,1,3,3
1023,83,1196,341597,1,2,2
1085,836,286,1438892,1,4,4
1097,836,5037,415712,0,4,2
1182,252,1206,1114710,0,3,4
1225,199,4729,231700,0,1,2
1306,836,5968,285032,1,4,4
1307,856,629,625781,0,3,2
1316,815,3092,895429,1,1,1
1342,855,773,392091,1,3,3
1348,625,3013,889602,1,1,1
1405,856,4580,934333,0,3,4
1411,252,4271,979586,1,3,3
1443,625,5774,377380,0,1,2
1446,405,4534,577695,1,2,2
1479,625,3829,13855,0,1,3
1517,836,3934,702576,1,4,4
1531,50,2734,142278,1,2,2
1593,911,1630,459048,1,2,2
1610,178,1850,218697,1,4,4
1612,922,515,1154825,1,4,4
1662,83,3807,377262,0,2,1
1699,815,3791,233802,1,1,1
1728,922,1714,204631,1,4,4
1759,462,3856,770068,1,3,3
1762,855,303,464375,1,3,3
1773,855,2781,1389850,1,3,3
1793,836,1758,733987,1,4,4
1801,547,871,1169599,1,4,4
1838,332,4533,1002553,1,2,2
1840,922,660,440932,1,4,4
1972,625,5820,298230,1,1,1
1994,462,1046,1411396,1,3,3
1995,911,5300,467038,1,2,2
2009,89,1641,1503335,0,4,2
2033,911,3934,334675,1,2,2
2039,922,1973,196669,0,4,3
2051,178,2872,1058730,1,4,4
2082,462,406,1508465,0,3,4
2085,405,2350,942018,1,2,2
2110,727,1206,538509,0,2,3
2166,855,2196,276039,1,3,3
2215,668,1579,1208552,1,3,3
2293,89,5216,43267,1,4,4
2362,855,1292,1310272,1,3,3
2363,89,5923,1489153,1,4,4
2391,462,89,242861,1,3,3
2411,764,4123,1022994,1,4,4
2450,332,1307,1374080,1,2,2
2480,199,1445,470999,1,1,1
2576,727,1378,1440583,1,2,2
2696,855,2200,523170,1,3,3
2726,668,5370,45907,1,3,3
2833,89,2852,108261,1,4,4
2922,625,1307,53066,1,1,1
2986,178,1973,662468,1,4,4
3052,199,6020,220780,1,1,1
3095,83,3961,1381409,1,2,2
3130,547,515,1311039,0,4,3
3182,856,5461,1379256,0,3,2
3183,668,1646,1227094,1,3,3
3189,332,1364,1364924,0,2,3
3204,547,911,538731,1,4,4
3235,855,2466,654475,1,3,3
3294,668,604,576904,1,3,3
3312,252,4973,1239162,1,3,3
3389,764,2671,1211728,1,4,4
3422,911,5968,864742,1,2,2
3423,83,1144,1392951,0,2,3
3471,856,381,561022,1,3,3
3536,764,1266,1194967,1,4,4
3559,547,4325,1162814,0,4,1
3623,815,5712,1142766,0,1,4
3680,922,374,479647,1,4,4
3700,89,4127,868387,0,4,1
3730,625,4186,1256235,1,1,1
3761,178,1823,1113952,1,4,4
3837,405,18,1225012,1,2,2
3943,252,562,1494532,1,3,3
3964,856,5113,997582,1,3,3
4136,922,688,397891,1,4,4
4158,547,2130,1128729,1,4,4
4173,462,2237,416383,0,3,4
4217,856,5357,265645,0,3,2
4223,178,6,841412,1,4,4
4227,178,194,640815,1,4,4
4243,856,688,570372,1,3,3
4260,727,3843,146334,1,2,2
4269,178,1316,637992,1,4,4
4276,836,4956,914019,1,4,4
4301,89,3467,357362,1,4,4
4330,547,1394,545450,1,4,4
4418,836,5424,18539,0,4,3
4481,50,1288,333343,1,2,2
4483,462,5932,1131759,1,3,3
4489,199,5041,643869,0,1,2
4516,815,3715,1312208,1,1,1
4524,815,3663,593873,0,1,4
4603,764,1033,321876,0,4,1
4657,727,1207,227767,1,2,2
4706,625,3324,1319794,1,1,1
4802,855,3556,1432975,1,3,3
4833,625,3361,17465,1,1,1
4863,83,962,785059,1,2,2
4867,462,3428,60508,0,3,1
4878,462,2725,1106134,1,3,3
4965,856,4216,415299,0,3,2
4999,547,577,622445,0,4,2
5008,815,2323,31299,0,1,4
5024,764,5534,160924,1,4,4
5065,815,89,164310,1,1,1
5077,50,2568,1494056,0,2,4
5091,199,5664,1279855,1,1,1
5163,83,3346,896884,1,2,2
5266,547,3016,1229929,1,4,4
5277,815,2046,841990,1,1,1
5373,405,2872,889473,1,2,2
5419,252,2734,113779,1,3,3
5434,252,4144,680989,0,3,4
5453,83,2532,488454,0,2,1
5520,332,1503,291590,1,2,2
5533,911,1094,388314,0,2,4
5601,89,2211,1258115,1,4,4
5695,50,4998,740549,0,2,4
5702,252,506,1401546,1,3,3
5746,922,1734,1454724,1,4,4
5800,911,371,1468141,0,2,1
5853,462,6003,1496404,1,3,3
5944,252,1493,736798,1,3,3
5949,252,2774,1246028,1,3,3
6010,911,4017,879048,1,2,2
6012,405,5561,1222426,1,2,2
6046,625,4017,1398480,0,1,3
6098,764,5503,50303,0,4,2
6132,50,4968,299758,1,2,2
6181,625,4972,580655,1,1,1
6260,178,2160,1033602,1,4,4
6262,727,363,1320434,1,2,2
6327,50,405,1053000,1,2,2
6369,462,4998,308751,1,3,3
6417,727,2457,1502358,1,2,2
6508,199,5477,943041,1,1,1
6511,815,5535,103705,0,1,2
6533,836,732,256527,1,4,4
6543,332,6081,643032,1,2,2
6544,83,5007,1031130,0,2,1
6545,83,3944,846092,1,2,2
6547,50,1117,673074,1,2,2
6628,668,2749,438698,1,3,3
6658,815,5720,684925,1,1,1
6659,178,1810,156141,1,4,4
6700,199,777,60987,1,1,1
6701,332,2322,135316,1,2,2
6765,89,1514,959037,1,4,4
6795,547,88,1021047,1,4,4
6805,199,2954,508609,1,1,1
6814,815,50,91920,0,1,4
6860,83,575,1350361,1,2,2
6873,815,560,1099331,1,1,1
6888,855,5096,97562,1,3,3
6998,922,5451,439191,1,4,4
7009,815,582,527297,1,1,1
7119,668,6020,1369443,0,3,1
7136,668,373,1408817,1,3,3
7152,199,1644,684896,1,1,1
7184,332,5457,281816,1,2,2
7223,855,2757,1005692,1,3,3
7239,625,3074,158347,0,1,4
7298,252,5092,1154582,0,3,2
7410,764,1398,227765,0,4,1
7416,462,248,1053718,0,3,4
7444,855,5508,904835,0,3,2
7467,199,5113,41408,1,1,1
